C:\Users\WhizKid2004\PycharmProjects\poliGPTTest\venv\Scripts\python.exe C:\Users\WhizKid2004\PycharmProjects\a1\part1\main.py
Executing GP Runs Please Wait...
   	      	                            fitness                            	                          size
   	      	---------------------------------------------------------------	-------------------------------------------------------
gen	nevals	avg    	gen	max        	med    	min    	nevals	std    	avg    	gen	max	med	min	nevals	std
32 	285   	596.998	32 	122056     	8.88598	0.995756	285   	7270.86    	51.6867	32 	90 	52.5	2  	285   	17.0083
33 	285   	7377.77	33 	2.02193e+06	8.94089	0.995756	285   	116725     	53.9433	33 	105	53  	13 	285   	17.9967
34 	261   	161.118	34 	25415.8    	8.68971	0.995756	261   	1541.94    	55.09  	34 	105	56  	3  	261   	19.0725
35 	272   	8943.88	35 	1.39164e+06	7.3307 	0.995756	272   	105300     	57.6667	35 	113	57  	4  	272   	18.8841
36 	282   	53.9129	36 	9229.06    	3.59574	0.995756	282   	532.28     	57.7167	36 	110	60  	13 	282   	18.6946
37 	277   	4.89193e+07	37 	1.46756e+10	3.43757	0.995756	277   	8.45882e+08	57.8633	37 	128	60  	1  	277   	18.2331
38 	280   	1189.95    	38 	292176     	4.11363	0.995756	280   	17005.3    	56.86  	38 	100	58.5	2  	280   	18.7583
39 	269   	1.04535e+08	39 	3.13603e+10	2.87848	0.995756	269   	1.80757e+09	56.2933	39 	101	57  	13 	269   	17.09
40 	287   	6098.06    	40 	959135     	4.46609	0.995756	287   	74175.5    	54.8633	40 	109	54  	9  	287   	18.5529
41 	282   	3.54159e+14	41 	1.06248e+17	3.63962	0.995756	282   	6.12398e+15	53.4233	41 	113	53.5	4  	282   	18.1812
42 	280   	389791     	42 	1.06616e+08	4.21245	0.995756	280   	6.17189e+06	54.6967	42 	111	55  	3  	280   	18.0645
43 	272   	69.2806    	43 	9920.97    	2.20043	0.995756	272   	599.263    	57.29  	43 	107	56  	13 	272   	16.768
44 	276   	160.645    	44 	38154.8    	2.59769	0.950136	276   	2202.1     	57.69  	44 	108	57  	16 	276   	17.1044
